origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.01,0
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.025,0.12022608382819185
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.05,0.35387346199635894
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.1,0.5685387629949902
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.15,0.659411825348593
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.2,0.8566251417885062
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.25,1.0977726547498423
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.3,1.2162722676347728
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.35,1.419584381819651
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.4,1.5757193226611692
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.45,1.7329920440179394
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.5,1.913152138800537
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.55,1.9931446893459495
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.6,2.119100049813037
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.65,2.2974042801633177
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.7,2.4246556044451615
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.75,2.5459974078170196
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.8,2.638608186468593
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.85,2.723057911582842
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.9,2.9000673391066334
2017-01-28,HHS Region 1,ili perc,1,2017-02-04,quantile,0.95,3.0787012278449626
