origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.01,1.4337321706623571
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.025,1.4899161337548128
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.05,1.624556965040328
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.1,1.795835001761555
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.15,1.8293707715539775
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.2,1.8701500032707898
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.25,1.9445751731694902
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.3,2.0421878225389114
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.35,2.099915752912373
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.4,2.169127009581108
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.45,2.205531846188736
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.5,2.2467386923835293
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.55,2.2609208953265965
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.6,2.3036924970248176
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.65,2.346529437738516
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.7,2.390463162678334
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.75,2.4171559756353487
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.8,2.4561804653635666
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.85,2.5610546988656147
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.9,2.6730414055654594
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.95,2.922143326880304
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.975,2.961384758995955
2017-12-23,HHS Region 1,ili perc,1,2017-12-30,quantile,0.99,3.1354042892225267
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.01,1.2633128621314134
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.025,1.3197201806598946
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.05,1.5884409486170505
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.1,1.7453641886993339
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.15,1.788899090967877
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.2,1.8557191970633435
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.25,1.9692785658219094
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.3,2.0457374059298026
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.35,2.08161150895857
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.4,2.116127452185644
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.45,2.170147461528132
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.5,2.2321096368123534
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.55,2.2807707556641477
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.6,2.3142468144269337
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.65,2.3582246970405554
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.7,2.4293557102046144
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.75,2.550337227092294
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.8,2.600280784588066
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.85,2.687423733886285
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.9,2.775643809160095
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.95,3.0062454796326508
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.975,3.310396988944058
2017-12-23,HHS Region 1,ili perc,2,2018-01-06,quantile,0.99,3.3642424682783716
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.01,1.0747470393373562
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.025,1.1157546370153382
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.05,1.2526327638854822
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.1,1.5843139597298348
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.15,1.6863916911062695
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.2,1.7881745878854076
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.25,1.8392627270652078
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.3,1.9032985262560458
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.35,2.0106032305593233
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.4,2.0844657509348865
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.45,2.159550590567937
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.5,2.2611807627946083
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.55,2.3330091245911087
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.6,2.3952601901712534
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.65,2.4827159191713313
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.7,2.541823312777642
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.75,2.5767427531106333
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.8,2.6581217042134564
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.85,2.738184140632273
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.9,2.9467341570611376
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.95,3.072883770620346
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.975,3.380563757131311
2017-12-23,HHS Region 1,ili perc,3,2018-01-13,quantile,0.99,3.5557012479328907
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.01,0.7746625992112187
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.025,0.8925371572391922
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.05,1.0563448883716215
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.1,1.460193146566018
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.15,1.592282910716559
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.2,1.7451546312132424
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.25,1.8563409319998372
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.3,1.9284035871832659
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.35,1.991639260652104
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.4,2.0793066997502567
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.45,2.166635143880309
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.5,2.255551033515844
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.55,2.337492236283053
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.6,2.403260221453489
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.65,2.497503713232142
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.7,2.5821076542594428
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.75,2.6786468349725148
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.8,2.807542766354719
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.85,2.9592407593970056
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.9,3.1495684457214694
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.95,3.268512182574082
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.975,3.4524070524228847
2017-12-23,HHS Region 1,ili perc,4,2018-01-20,quantile,0.99,3.6296710858529266
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.01,0.8145956678724721
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.025,1.0430994665006508
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.05,1.1138085571491234
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.1,1.358125344169012
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.15,1.4793625901888527
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.2,1.6100575875014767
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.25,1.7464633653168273
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.3,1.8331774563218288
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.35,1.8582993868882283
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.4,1.8883180156911332
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.45,1.9090795549991384
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.5,1.9892298285567618
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.55,2.1219729504991096
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.6,2.2044741925392692
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.65,2.3107901048616117
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.7,2.442415398515173
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.75,2.5629911092941065
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.8,2.6131081449677636
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.85,2.731355439636259
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.9,2.8351902356107845
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.95,3.0895675419506046
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.975,3.4572950251497288
2017-12-23,HHS Region 10,ili perc,1,2017-12-30,quantile,0.99,3.6782579170349954
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.01,0.6321321611195152
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.025,0.7768395584370571
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.05,0.8057448084799212
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.1,1.0833514838338785
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.15,1.2250962684571813
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.2,1.3740471791169977
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.25,1.4726381398659472
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.3,1.5885272751946888
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.35,1.803359494692864
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.4,1.8565523419722598
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.45,1.89839398620065
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.5,1.9429522223818
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.55,2.001833854669715
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.6,2.152898880016909
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.65,2.2916378546844642
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.7,2.36463137618407
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.75,2.573753684861486
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.8,2.7858764821687565
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.85,2.9052385564682117
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.9,3.0939472407451394
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.95,3.6475527368483527
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.975,3.907714298119312
2017-12-23,HHS Region 10,ili perc,2,2018-01-06,quantile,0.99,4.017325919078544
2017-12-23,HHS Region 10,ili perc,3,2018-01-13,quantile,0.01,0.109323738830446
2017-12-23,HHS Region 10,ili perc,3,2018-01-13,quantile,0.025,0.2588620950720464
2017-12-23,HHS Region 10,ili perc,3,2018-01-13,quantile,0.05,0.8503064633374942
2017-12-23,HHS Region 10,ili perc,3,2018-01-13,quantile,0.1,1.033730263256855
2017-12-23,HHS Region 10,ili perc,3,2018-01-13,quantile,0.15,1.1763277585797431
2017-12-23,HHS Region 10,ili perc,3,2018-01-13,quantile,0.2,1.2129499960318166
